experiment_name,start_time,backend,batch_size,centers_size_gb,components_size_gb,cuml_accel_active,cuml_accel_error,cuml_accel_install_called,dataset,device,effective_batch_size,explained_variance_pct,inertia,inp,input_dims,input_dims_to_kmeans,input_n_components,input_n_components_to_umap,input_size_gb,k,kmeans_minutes,kmeans_purity,kmeans_seconds,labels_size_gb,layer_num,max_iter,mem_input_gb,mem_output_gb,mem_total_gb,memory_estimate_input_size_gb,memory_estimate_output_size_gb,memory_estimate_total_gb,metric,min_dist,n_components,n_features,n_neighbors,n_samples,nmi,original_pca_n_components_before_slice,out,out_dir,output_size_gb,pc1_pc2_cum_variance_pct,pc1_variance_pct,pc2_variance_pct,pca2d_seconds,pca_components_size_gb,pca_explained_variance_pct,pca_input_size_gb,pca_output_size_gb,pca_path,pca_seconds,pca_total_gpu_gb,precision,purity,random_state,reduction_type,save_every,silhouette_2d,silhouette_2d_euclidean,skipped_n_components,source_path,split,total_gb,total_gpu_gb,umap_duration_seconds,umap_metric,umap_minutes,umap_n_neighbors,umap_seconds,umap_source_reduction_type,zca_components_size_gb,zca_explained_variance_pct,zca_input_size_gb,zca_output_size_gb,zca_seconds,zca_total_gpu_gb
kmeans_on_umap_from_sliced_s15,2025-06-05 02:43:06.561,gpu,,2.2351741790771484e-08,,,,,,,,,1573769.25,,,2,,35,0.004098951816558838,3,0.0032231907500924234,,0.1933914450055454,0.002049475908279419,12,300,,,,,,,,,,,,,0.0005563529923940032,50,,,,,,,,,,,,,,,,0.3486545536506275,42,umap,,,,15,,,0.006148450076580048,,,manhattan,,100,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:42:30.752,,,,,,,,snli,,,,,,35,,35,,,,,,,,12,,,,,,,,manhattan,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_12,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_12/pca_snli_50_layer12_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,16.170474560000002,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:41:54.523,gpu,,2.2351741790771484e-08,,,,,,,,,1585122.5,,,2,,35,0.004098951816558838,3,0.002256487516569905,,0.1353892509941943,0.002049475908279419,12,300,,,,,,,,,,,,,0.000500507087986611,50,,,,,,,,,,,,,,,,0.34415216158443485,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,100,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:41:17.767,,,,,,,,snli,,,,,,35,,35,,,,,,,,12,,,,,,,,euclidean,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_12,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_12/pca_snli_50_layer12_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,17.156115388992475,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:40:41.275,gpu,,2.2351741790771484e-08,,,,,,,,,2222749.75,,,2,,35,0.004098951816558838,3,0.002050274099747185,,0.12301644598483108,0.002049475908279419,12,300,,,,,,,,,,,,,0.00021706158520115533,50,,,,,,,,,,,,,,,,0.34015508441303494,42,umap,,,,15,,,0.006148450076580048,,,manhattan,,15,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:40:10.932,,,,,,,,snli,,,,,,35,,35,,,,,,,,12,,,,,,,,manhattan,0.1,,,15,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_12,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_12/pca_snli_50_layer12_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,10.743720655009383,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:39:34.876,gpu,,2.2351741790771484e-08,,,,,,,,,2510611.75,,,2,,35,0.004098951816558838,3,0.004249859450404377,,0.2549915670242626,0.002049475908279419,12,300,,,,,,,,,,,,,0.00024661328444540296,50,,,,,,,,,,,,,,,,0.3402205208742311,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,15,,pca,,,,,,
umap_on_sliced_s15,2025-06-05 02:39:05.698,,,,,,,,snli,,,,,,35,,35,,,,,,,,12,,,,,,,,euclidean,0.1,,,15,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_12,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_12/pca_snli_50_layer12_first_15_skipped.parquet,,,,,,pca,,,,15,,,,,,,,,9.548706322006183,,,,,,,
kmeans_on_umap_from_sliced_s15,2025-06-05 02:38:23.477,gpu,,2.2351741790771484e-08,,,,,,,,,1537205.625,,,2,,35,0.004098951816558838,3,0.0023739685168645036,,0.1424381110118702,0.002049475908279419,12,300,,,,,,,,,,,,,0.0005540485525296826,50,,,,,,,,,,,,,,,,0.3454899736800012,42,umap,,,,15,,,0.006148450076580048,,,euclidean,,100,,zca,,,,,,
umap_on_sliced_s15,2025-06-05 02:37:45.660,,,,,,,,snli,,,,,,35,,35,,,,,,,,12,,,,,,,,euclidean,0.1,,,100,,,50,,data/snli/experiments_on_sliced_pca/umap_on_sliced_skip15/layer_12,,,,,,,,,,data/snli/experiments_on_sliced_pca/sliced_pca_files/layer_12/zca_snli_50_layer12_first_15_skipped.parquet,,,,,,zca,,,,15,,,,,,,,,17.719083875010256,,,,,,,
